Ticker;ROS;Earnings Per Share ;Return on Average Total Equity;EBITDA Per Share
AMZN ;5.24;2.73; 0.17 ;8.23
TSLA ;10.30;3.13; 0.28 ;4.26
HD ;9.84;15.08; 11.62 ;24.91
MCD ;33.82;11.81; -   ;19.01
NKE ;10.05;3.26; 0.36 ;4.52
LOW ;8.68;13.03; -   ;23.48
BKNG ;24.56;149.74; 225.74 ;185.65
TJX ;8.11;3.77; 0.65 ;0.00
SBUX ;11.42;3.46; -   ;6.40
ABNB ;28.38;8.2; 0.70 ;2.41
