Ticker;ROS;Earnings Per Share ;Return on Average Total Equity;EBITDA Per Share
PLD;12.26%;2.67;0.06;0
AMT;16%;5.46;0.32;0
EQIX;11.84%;10.41;0.08;0
SPG;40.35%;6.99;0.76;0
WELL;22.90%;0.79;0.00;0
PSA;48%;10.96;0.38;0
CCI;21.52%;3.73;0.24;0
DLR;17%;3.04;0.07;0
O;21%;1.32;0.03;0
CSGP;16.93%;0.93;0.05;0
