Ticker,ROS,Earnings Per Share ,Return on Average Total Equity,EBITDA Per Share
XOM ,10.96,9.18, 0.18 ,17.03
CVX ,12.14,12.92, 0.13 ,23.91
COP ,17.63,8.48, 0.23 ,20.03
SLB ,12.93,2.96, 0.22 ,5.44
EOG ,28.03,11.70, 0.29 ,22.76
MPC ,5.66,21.86, 0.34 ,48.21
PSX ,4.51,15.10, 0.22 ,23.64
EPD ,10.99,2.49, 0.20 ,4.07
PXD ,37.39,20.86, 0.21 ,40.28
OXY ,11.30,3.65, 0.16 ,15.10

