Ticker,ROS,Earnings Per Share ,Return on Average Total Equity,EBITDA Per Share
MSFT,36.27,10.37,0.40,0
AAPL,26.16,6.16,1.62,0
NVDA,16.19,2.29,0.20,0
AVGO,39.31,23.52,0.59,0
AMD,3.77,0.62,1.53,0
ORCL,17.02,3.3,-1.08,0
CRM,0.66,1.07,0.00,0
ADBE,27.97,12.27,0.33,0
ACN,10.72,12.05,0.27,0
CSCO,22.13,3.18,0.28,0
