Ticker;ROS;Earnings Per Share ;Return on Average Total Equity;EBITDA Per Share
GE ;4.48;4.63;0.28;5.03
CAT ;15.79;20.73;0.58;33.88
UNP ;26.37;10.33;0.47;18.70
HON ;16.31;9.96;0.34;14.64
UPS ;8.23;8.77;0.36;15.18
BA ;-4.56;-6.09;0.00;4.28
RTX ;9.02;5.00;0.05;9.20
ETN;0.00;0.00;0.00;0.00
LMT ;9.96;27.20;0.86;41.50
DE ;17.52;33.97;0.46;63.04
