Ticker;ROS;Earnings Per Share ;Return on Average Total Equity;EBITDA Per Share
WMT ;2.75;2.17;0.19;4.83
PG ;17.97;5.86;0.32;9.68
COST;2.65;14.06;0.27;23.61
KO ;25.34;2.69;0.40;3.33
PEP ;11.45;7.56;0.51;12.13
PM ;26.47;6.09;0.00;9.48
MDLZ ;12.37;3.24;0.18;5.52
MO ;42.58;4.96;0.00;6.92
TGT ;3.39;5.54;0.31;17.06
CL ;13.66;3.22;2.79;5.59
